A.  .closed_3_body.Last_Run.TIME (sec)
B.  .closed_3_body.Last_Run.joint1_MEA_1.Q (deg/sec**2)
C.  .closed_3_body.Last_Run.joint2_MEA_1.Q (deg/sec**2)
D.  .closed_3_body.Last_Run.joint3_MEA_1.Q (deg/sec**2)

       A               B               C               D         
 1.790000E+00    0.000000E+00    0.000000E+00   -2.808932E+03   
 1.795000E+00    0.000000E+00    0.000000E+00   -2.808870E+03   
 1.800000E+00    0.000000E+00    0.000000E+00   -2.806817E+03   
 1.805000E+00    0.000000E+00    0.000000E+00   -2.802763E+03   
 1.810000E+00    0.000000E+00    0.000000E+00   -2.796684E+03   
 1.815000E+00    0.000000E+00    0.000000E+00   -2.788547E+03   
 1.820000E+00    0.000000E+00    0.000000E+00   -2.778307E+03   
 1.825000E+00    0.000000E+00    0.000000E+00   -2.765910E+03   
 1.830000E+00    0.000000E+00    0.000000E+00   -2.751292E+03   
 1.835000E+00    0.000000E+00    0.000000E+00   -2.734379E+03   
 1.840000E+00    0.000000E+00    0.000000E+00   -2.715090E+03   
 1.845000E+00    0.000000E+00    0.000000E+00   -2.693336E+03   
 1.850000E+00    0.000000E+00    0.000000E+00   -2.669020E+03   
 1.855000E+00    0.000000E+00    0.000000E+00   -2.642041E+03   
 1.860000E+00    0.000000E+00    0.000000E+00   -2.612293E+03   
 1.865000E+00    0.000000E+00    0.000000E+00   -2.579667E+03   
 1.870000E+00    0.000000E+00    0.000000E+00   -2.544051E+03   
 1.875000E+00    0.000000E+00    0.000000E+00   -2.505335E+03   
 1.880000E+00    0.000000E+00    0.000000E+00   -2.463409E+03   
 1.885000E+00    0.000000E+00    0.000000E+00   -2.418164E+03   
 1.890000E+00    0.000000E+00    0.000000E+00   -2.369499E+03   
